Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW,2388.TW,2388.TW,2388.TW,2388.TW,2388.TW,2354.TW,2354.TW,2354.TW,2354.TW,2354.TW
2021-09-08,565.3020629882812,572.608067033364,558.9093094488338,568.0418145051873,37817737.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-09,565.3020629882812,566.2153134939166,557.0828084375631,558.9093094488338,18735512.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-10,568.0419311523438,568.9551818455147,560.7359256069759,561.6491763001469,16304725.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-13,561.6490478515625,566.2153002731199,559.8225468829395,565.3020497888084,15198774.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-14,559.8226318359375,564.3888849504231,558.9093812130403,564.3888849504231,14441901.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-15,554.3431396484375,559.8226434999872,554.3431396484375,557.0828915742123,23433501.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-16,550.444091796875,556.8659395345052,549.5266849772136,553.1963122558593,22467022.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-17,550.444091796875,559.6181599934896,549.5266849772136,550.444091796875,40717715.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-22,537.6004638671875,540.3526846719683,534.8482430624067,537.6004638671875,40642293.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-23,539.4352416992188,544.0222760674094,539.4352416992188,539.4352416992188,21696296.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-24,548.609375,548.609375,541.2701191471572,542.1875261287626,16736973.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-27,552.2789306640625,552.2789306640625,544.0222689099486,550.444116940926,19464241.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-28,544.9395751953125,546.7743885798085,543.1047618108165,545.8569818875606,16707080.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-29,532.0960693359375,534.8482903842269,529.3438482876481,532.0960693359375,49310524.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-09-30,532.0960693359375,536.6831044164197,527.5090342554553,532.0960693359375,30465107.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-10-01,526.5914306640625,531.1784640322163,523.8392106431702,531.1784640322163,36704493.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-10-04,524.7567749023438,527.5089957497337,522.0045540549538,526.5915888006036,20957803.0,2330.TW,,,,,,,,,,,,,,,,,,,,
2021-10-05,524.7567749023438,524.7567749023438,513.7478915127841,515.582705411044,33824024.0,2330.TW,,,,,,,,,,,,,,,,,,,,
