date,open,high,low,close,volume,dividends,stock_splits
2026-08-27 00:00:00+08:00,4005.0,4005.0,3865.0,3865.0,5075512,0.0,0.0
2026-08-28 00:00:00+08:00,3935.0,4000.0,3925.0,3985.0,4191553,0.0,0.0
2026-08-31 00:00:00+08:00,3885.0,3945.0,3820.0,3925.0,6705834,0.0,0.0
2026-09-01 00:00:00+08:00,4315.0,4315.0,4315.0,4315.0,2565821,0.0,0.0
2026-09-02 00:00:00+08:00,4450.0,4565.0,4230.0,4275.0,21619969,0.0,0.0
2026-09-03 00:00:00+08:00,4400.0,4420.0,4290.0,4340.0,8318790,0.0,0.0
2026-09-04 00:00:00+08:00,4435.0,4490.0,4340.0,4415.0,8321196,0.0,0.0
2026-09-07 00:00:00+08:00,4500.0,4855.0,4485.0,4760.0,14602382,0.0,0.0
2026-09-08 00:00:00+08:00,4800.0,4830.0,4685.0,4710.0,5860895,0.0,0.0
2026-09-09 00:00:00+08:00,4780.0,4780.0,4625.0,4625.0,4731174,0.0,0.0
2026-09-10 00:00:00+08:00,4560.0,4730.0,4520.0,4720.0,6090137,0.0,0.0
2026-09-11 00:00:00+08:00,4635.0,4655.0,4535.0,4585.0,6841032,0.0,0.0
2026-09-14 00:00:00+08:00,4475.0,4650.0,4435.0,4560.0,5643359,0.0,0.0
2026-09-15 00:00:00+08:00,4505.0,4575.0,4430.0,4430.0,5699080,0.0,0.0
2026-09-16 00:00:00+08:00,4435.0,4625.0,4435.0,4530.0,5895568,0.0,0.0
2026-09-17 00:00:00+08:00,4565.0,4700.0,4500.0,4500.0,5950806,0.0,0.0
2026-09-18 00:00:00+08:00,4600.0,4735.0,4545.0,4710.0,9019674,0.0,0.0
2026-09-21 00:00:00+08:00,4800.0,5035.0,4780.0,5010.0,9541537,0.0,0.0
2026-09-22 00:00:00+08:00,5280.0,5480.0,5150.0,5180.0,10551036,0.0,0.0
2026-09-23 00:00:00+08:00,5220.0,5265.0,5140.0,5185.0,5917267,0.0,0.0
2026-09-24 00:00:00+08:00,5105.0,5360.0,5105.0,5285.0,7157018,0.0,0.0
