date,open,high,low,close,volume,dividends,stock_splits
2026-08-27 00:00:00+08:00,248.5,256.5,248.5,252.0,40754846,0.0,0.0
2026-08-28 00:00:00+08:00,255.5,256.5,251.0,253.0,30726342,0.0,0.0
2026-08-31 00:00:00+08:00,249.5,251.0,246.0,250.0,34461565,0.0,0.0
2026-09-01 00:00:00+08:00,253.0,256.0,251.0,256.0,29000052,0.0,0.0
2026-09-02 00:00:00+08:00,253.0,255.0,250.5,251.0,27815114,0.0,0.0
2026-09-03 00:00:00+08:00,253.5,254.5,247.5,247.5,28712515,0.0,0.0
2026-09-04 00:00:00+08:00,252.5,256.0,251.0,256.0,47689189,0.0,0.0
2026-09-07 00:00:00+08:00,258.5,259.0,252.5,256.0,33150225,0.0,0.0
2026-09-08 00:00:00+08:00,256.0,256.0,250.0,251.5,38876753,0.0,0.0
2026-09-09 00:00:00+08:00,250.5,254.0,250.5,252.0,19302475,0.0,0.0
2026-09-10 00:00:00+08:00,250.5,252.0,247.5,251.0,38203448,0.0,0.0
2026-09-11 00:00:00+08:00,247.5,249.5,247.0,248.0,23496234,0.0,0.0
2026-09-14 00:00:00+08:00,244.5,249.5,243.5,248.5,21657156,0.0,0.0
2026-09-15 00:00:00+08:00,247.5,250.0,246.5,246.5,15351327,0.0,0.0
2026-09-16 00:00:00+08:00,247.5,248.5,246.0,248.0,19283592,0.0,0.0
2026-09-17 00:00:00+08:00,249.5,253.5,249.5,250.5,25821424,0.0,0.0
2026-09-18 00:00:00+08:00,252.5,253.0,249.0,250.5,43948586,0.0,0.0
2026-09-21 00:00:00+08:00,251.5,252.0,249.0,250.0,16241779,0.0,0.0
2026-09-22 00:00:00+08:00,252.0,254.0,250.5,253.0,37641805,0.0,0.0
2026-09-23 00:00:00+08:00,255.0,257.0,255.0,256.0,34725599,0.0,0.0
2026-09-24 00:00:00+08:00,253.0,253.0,249.5,250.5,33005343,0.0,0.0
